cliente_id," caja_concepto_id"," cuenta_contable_id"," cuenta_recargo_id"," fecha_pago"," monto"," inicial_bnd"," pagado_bnd"," plan_pago_ln_id"," usu_alta_id"," usu_mod_id"," created_at"," update_at"," deleted_at"," combinacion_cliente_id"," caja_id"
71423,10647,46,0,0,2019-06-01,200,1,0,1808,1,1,NULL,NULL,NULL,8866,0
71424,23005,46,0,0,2019-06-01,200,1,0,1808,1,1,NULL,NULL,NULL,11098,0
71425,23802,46,0,0,2019-06-01,200,1,0,1808,1,1,NULL,NULL,NULL,11201,0
71426,24433,46,0,0,2019-06-01,200,1,0,1808,1,1,NULL,NULL,NULL,11387,0
71427,26196,46,0,0,2019-06-01,200,1,0,1808,1,1,NULL,NULL,NULL,11547,0
71428,26321,46,0,0,2019-06-01,200,1,0,1808,1,1,NULL,NULL,NULL,11575,0
71429,26105,46,0,0,2019-06-01,200,1,0,1808,1,1,NULL,NULL,NULL,11859,0
71430,23512,46,0,0,2019-06-01,200,1,0,1808,1,1,NULL,NULL,NULL,11862,0
71431,23457,46,0,0,2019-06-01,200,1,0,1808,1,1,NULL,NULL,NULL,11865,0
71432,23342,46,0,0,2019-06-01,200,1,0,1808,1,1,NULL,NULL,NULL,11890,0
71433,26027,46,0,0,2019-06-01,200,1,0,1808,1,1,NULL,NULL,NULL,11891,0
71434,23662,46,0,0,2019-06-01,200,1,0,1808,1,1,NULL,NULL,NULL,11893,0
71435,24004,46,0,0,2019-06-01,200,1,0,1808,1,1,NULL,NULL,NULL,11894,0
71436,22977,46,0,0,2019-06-01,200,1,0,1808,1,1,NULL,NULL,NULL,11895,0
71437,22870,46,0,0,2019-06-01,200,1,0,1808,1,1,NULL,NULL,NULL,11898,0
71438,24597,46,0,0,2019-06-01,200,1,0,1808,1,1,NULL,NULL,NULL,11901,0
71439,26276,46,0,0,2019-06-01,200,1,0,1808,1,1,NULL,NULL,NULL,11902,0
